family,midparentHeight,children,childNum,gender,childHeight,pair,parentHeight
151,67.83,2,2,female,61.7,mother_daughter,62
151,67.83,2,1,male,67.7,mother_son,62
152,67.75,1,1,male,66.5,mother_son,62.5
153,66.94,5,5,female,63,mother_daughter,61
153,66.94,5,3,male,64,mother_son,61
154,66.508,1,1,male,66.7,mother_son,60.2
155,66.4,7,2,female,61,mother_daughter,60
155,66.4,7,1,male,64,mother_son,60
156,66.4,4,4,female,60,mother_daughter,60
156,66.4,4,1,male,67.5,mother_son,60
157,66.11,1,1,male,69,mother_son,59
158,65.86,10,7,female,65,mother_daughter,59
158,65.86,10,3,male,64.7,mother_son,59
159,69.248,5,4,female,65.5,mother_daughter,66.2
159,69.248,5,1,male,72.7,mother_son,66.2
160,69.41,1,1,male,71,mother_son,66.5
161,69.14,8,6,female,68,mother_daughter,66
161,69.14,8,1,male,73,mother_son,66
162,68.6,6,4,female,65,mother_daughter,65
162,68.6,6,2,male,67.5,mother_son,65
163,68.87,5,3,female,65.5,mother_daughter,65.5
163,68.87,5,2,male,69,mother_son,65.5
164,68.87,4,4,female,60,mother_daughter,65.5
164,68.87,4,1,male,70,mother_son,65.5
165,68.6,3,2,female,62,mother_daughter,65
165,68.6,3,1,male,65,mother_son,65
166,68.85,11,5,female,63,mother_daughter,65
166,68.85,11,1,male,71,mother_son,65
167,68.06,4,1,male,71.5,mother_son,64
168,67.79,8,8,female,63.5,mother_daughter,63.5
168,67.79,8,2,male,70.2,mother_son,63.5
169,67.52,3,3,female,63,mother_daughter,63
169,67.52,3,2,male,68,mother_son,63
170,67.23,5,5,female,66,mother_daughter,62
170,67.23,5,3,male,69,mother_son,62
171,66.44,1,1,male,67,mother_son,61
172,69.18,8,6,female,62,mother_daughter,67
172,69.18,8,1,male,70.5,mother_son,67
173,69.18,9,4,female,67,mother_daughter,67
173,69.18,9,3,male,65,mother_son,67
174,68.64,5,5,female,65.5,mother_daughter,66
174,68.64,5,1,male,66,mother_son,66
175,68.64,6,4,female,65,mother_daughter,66
175,68.64,6,1,male,72,mother_son,66
176,68.35,8,6,female,60.5,mother_daughter,65
176,68.35,8,4,male,64.5,mother_son,65
177,68.37,5,4,female,66,mother_daughter,65.5
177,68.37,5,3,male,67,mother_son,65.5
178,67.02,1,1,male,70,mother_son,63
179,67.29,2,1,female,64.5,mother_daughter,63.5
180,67.27,6,4,female,65,mother_daughter,63
180,67.27,6,1,male,67.2,mother_son,63
181,67,7,7,female,62.5,mother_daughter,62.5
181,67,7,2,male,68,mother_son,62.5
182,66.21,1,1,male,70,mother_son,61.5
183,65.4,4,4,female,60,mother_daughter,60
183,65.4,4,1,male,68,mother_son,60
184,65.4,1,1,male,65,mother_son,60
185,64.86,15,15,female,57,mother_daughter,59
185,64.86,15,5,male,65.7,mother_son,59
186,68.68,4,4,female,65,mother_daughter,67
186,68.68,4,1,male,66.5,mother_son,67
187,68.68,1,1,female,63,mother_daughter,67
188,68.14,4,4,female,60,mother_daughter,66
188,68.14,4,1,male,63,mother_son,66
189,68.14,5,5,female,61,mother_daughter,66
189,68.14,5,3,male,65,mother_son,66
190,67.6,9,8,female,61,mother_daughter,65
190,67.6,9,1,male,69,mother_son,65
191,67.87,2,2,female,65.5,mother_daughter,65.5
191,67.87,2,1,male,70.7,mother_son,65.5
192,67.6,6,5,female,64.5,mother_daughter,65
192,67.6,6,2,male,69,mother_son,65
193,67.06,6,6,female,60.5,mother_daughter,64
193,67.06,6,1,male,67,mother_son,64
194,66.52,2,2,female,63,mother_daughter,63
194,66.52,2,1,male,70,mother_son,63
195,66.52,3,3,female,63,mother_daughter,63
195,66.52,3,2,male,66,mother_son,63
196,66.77,4,4,female,63.5,mother_daughter,63
196,66.77,4,3,male,69,mother_son,63
197,65.15,5,5,female,62,mother_daughter,60
197,65.15,5,3,male,67,mother_son,60
198,66.56,7,4,female,64,mother_daughter,64
198,66.56,7,2,male,68,mother_son,64
199,66.56,7,4,female,65,mother_daughter,64
199,66.56,7,1,male,70.5,mother_son,64
200,66.02,1,1,male,64.5,mother_son,63
201,64.4,2,2,female,60,mother_daughter,60
201,64.4,2,1,male,66,mother_son,60
202,65.79,2,1,female,68.5,mother_daughter,63.5
203,66.64,3,2,female,62,mother_daughter,66
203,66.64,3,1,male,64,mother_son,66
204,65.27,2,2,female,57,mother_daughter,63
204,65.27,2,1,male,66.5,mother_son,63
